station_id,name,address,district,lat,lng,bike_stands,available_bikes,status,last_update
2010,2010 - CONFLUENCE / DARSE,Allée Andrée Mure,Lyon 2e Arrondissement,45.743317,4.815747,22,19,OPEN,2025-12-20T22:32:47+01:00
5015,5015 - FULCHIRON,"41, Quai Fulchiron",Lyon 5e Arrondissement,45.75197,4.821662,19,19,OPEN,2025-12-20T22:34:31+01:00
32001,32001 - COUZON - CENTRE,Quai Jean Lavergne,Couzon-au-Mont-d'Or,45.846034,4.832409,17,15,OPEN,2025-12-20T22:32:44+01:00
6004,6004 - FOCH,"11, Cours Franklin Roosevelt",Lyon 6e Arrondissement,45.768896,4.844845,20,10,OPEN,2025-12-20T22:31:02+01:00
7035,7035 - MARSEILLE / UNIVERSITÉ,Place Deperet,Lyon 7e Arrondissement,45.750945,4.83927,40,6,OPEN,2025-12-20T22:24:55+01:00
10120,10120 - SALENGRO / DESCARTES,"39, Avenue Roger Salengro",Villeurbanne,45.776239,4.871634,15,12,OPEN,2025-12-20T22:29:51+01:00
5016,5016 - POINT DU JOUR / GRANGES,"49, Avenue du Point du Jour",Lyon 5e Arrondissement,45.756204,4.802727,13,1,OPEN,2025-12-20T22:33:04+01:00
9013,9013 - QUAI PAUL SÉDALLIAN,"52, Quai Paul Sédallian",Lyon 9e Arrondissement,45.787522,4.814418,20,10,OPEN,2025-12-20T22:34:05+01:00
10028,10028 - ECOLE DE MUSIQUE,"49, Cours de la République",Villeurbanne,45.767467,4.874032,24,15,OPEN,2025-12-20T22:33:27+01:00
10011,10011 - GRATTE-CIEL,"176, Cours Emile Zola",Villeurbanne,45.769226,4.880491,16,7,OPEN,2025-12-20T22:28:17+01:00
15002,15002 - ST PRIEST - CITE BERLIET,Place Steven Spielberg,Saint-Priest,45.70597,4.900886,20,9,OPEN,2025-12-20T22:33:52+01:00
10005,10005 - 11 NOVEMBRE,"1, Boulevard du 11 Novembre 1918",Villeurbanne,45.779702,4.860029,35,4,OPEN,2025-12-20T22:31:38+01:00
4012,4012 - PLACE ADRIEN GODIEN,"Face 30, Cours d'Herbouville",Lyon 4e Arrondissement,45.778767,4.841109,30,5,OPEN,2025-12-20T22:29:35+01:00
11004,11004 - CALUIRE - BRANLY / PASTEUR,"75, Rue Pasteur",Caluire-et-Cuire,45.79169,4.843452,15,14,OPEN,2025-12-20T22:33:59+01:00
16002,16002 - VÉNISSIEUX - LÉVY / VIENNE,"1, Avenue du Docteur Georges Lévy",Vénissieux,45.719399,4.854681,18,14,OPEN,2025-12-20T22:33:13+01:00
3009,3009 - MUSEE AFRICAIN,"Face 150, Cours Gambetta",Lyon 3e Arrondissement,45.750251,4.857919,22,3,OPEN,2025-12-20T22:30:53+01:00
10122,10122 - VERDUN / DESGRAND,"Face 17, Rue de Verdun",Villeurbanne,45.784023,4.897102,18,10,OPEN,2025-12-20T22:30:24+01:00
16001,16001 - VENISSIEUX - PLACE ROMAND,Place Ennemond Romand,Vénissieux,45.725891,4.858428,20,10,OPEN,2025-12-20T22:30:56+01:00
10091,10091 - CHÂTEAU GAILLARD / FORT,"28, Rue Louis Fort",Villeurbanne,45.774754,4.887977,16,8,OPEN,2025-12-20T22:31:56+01:00
2021,2021 - RAMBAUD / ECOLE DU CINÉMA,"15, Quai Rambaud",Lyon 2e Arrondissement,45.745824,4.817176,30,9,OPEN,2025-12-20T22:33:04+01:00
